,client_id,score
0,3fbd8c4b629545972d6bcba74f367c10cabc0f2d2715f554159b4cfbff73dcb2,0.0
1,1ee25fb2b3b07d2f165d15bd9b95f0e6d8cfccf586468d48588d104dd9922abe,0.0
2,aea24d61bb2f0eeb0ff4f897ce4037f58eff29acbd4e36e716401e8e32b4134b,0.0
3,1318bbf375035082f93aebf102249b110abda93d9970a1aa0ef3cc2df29649b6,0.0
4,6627d4565339a64bba25275af2eb8f3c1bcf3008ce3948a7d7966c40789d4d87,0.0
5,782377ade0030bd4c13566d5412cc6bc606f7b061d4674e354ea2c096746133c,0.0
6,5d360f2e880cbe6b6d2b0ff379c8720f68c1247a1cef354aa28b115423a9e1ee,0.0
7,311bd3f9b18a49c1e4466b001922bca1c4cd250def6ba0dadfce16d760ff3aa6,0.0
8,ce30ee8699c1ce73b6a744d3d94ced918a87db222470904d26e7603e8cec26cd,1.0
9,422a789bccb74b9426b7202409b87d139f471d7e4c8068639c91d2e813b834cd,1.0
10,1989a82589fd726c643008f78688bdaf82e20f4be42b976dab30ff174f1b9af5,0.0
11,5ba9ebacb7fef25b3bccdb4fca301c16272abfaf1c3a9ff976f2a89e65766fec,0.0
12,61c8e41ea40406cc43c56c80122385c62cae8f5c01c79f5f45ffb1930253f51b,1.0
13,54ef42fa23e1febde9fce9c22a06364089688c138fd459a0a6880cb6aad4a82d,1.0
14,d54e996d7eaad3d30ea507e0dad5cb4ce832c80793e4218ad9455d9dfbf91126,0.0
15,127cc002eae140bb55b7e0fc42e8fab81091d90a378fef0c5533b812550d2b60,0.0
16,904964a018ebb8f389761c9c3168dfddebf2cd0a95ad4db1e665fc15e13c8503,0.0
17,3be8ba6babdd587b99a340ed1742a0ee8af09af87ddf08a5a6a3af8357128f39,1.0
18,f19f780501f216f4fe04d2d61cb8e662572ab9364b66d657c01f24151e6c901f,0.0
19,be5b26746a18d9e7079320298683043693be01ef8b3d2aa4f9108cdf66cd6073,0.0
